total_pop,median_income,poverty_all,poverty_count,no_vehicle_hh,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_total,owner_hh,renter_hh,hh_total,limited_english,limited_english_total,state,county,tract,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
4446,-666666666,0,0,0,34,7,25,9,3865,0,0,0,8,4446,36,005,000100,36005000100,0.257321674,,75,0.019404915912031046,0.8561931559045466,0.00179937
4870,115064,4870,688,73,489,619,16,36,3583,858,567,1425,91,4646,36,005,000200,36005000200,0.14127310061601642,-0.02408591,1160,0.3237510466089869,0.39789473684210525,0.019586741282823936
6257,100553,6257,378,119,995,338,206,0,4566,1409,900,2309,38,6001,36,005,000400,36005000400,0.060412338181237014,-0.104946673,1539,0.33705650459921155,0.389779125,0.006332278
6177,41362,5961,893,7,682,123,0,0,4142,454,1751,2205,91,5876,36,005,001600,36005001600,0.1498070793491025,-0.015551932,805,0.19435055528730083,0.7941043083900227,0.015486725663716814
2181,49500,2178,623,0,283,133,22,9,1466,0,940,940,0,1990,36,005,001901,36005001901,0.2860422405876951,0.1206832295871296,447,0.3049113233287858,1,0
1883,67375,1814,586,14,102,37,7,0,1331,71,397,468,9,1760,36,005,001902,36005001902,0.3230429988974642,0.15768398789689866,146,0.10969196093163035,0.8482905982905983,0.005113636
4461,24684,4461,1847,0,99,19,0,0,2474,0,1774,1774,89,4228,36,005,002001,36005002001,0.41403272808787267,0.24867371708730715,118,0.047696038803556995,1,0.021050141911069062
3915,-666666666,3747,1307,74,217,23,0,0,2822,498,1370,1868,0,3751,36,005,002002,36005002002,0.34881238323992525,0.18345337223935973,240,0.085046067,0.7334047109207709,0
4528,19743,4527,2141,0,81,55,16,0,2666,0,1923,1923,59,4265,36,005,002300,36005002300,0.47294013695604153,0.30758112595547604,152,0.057014254,1,0.013833528722157092
5642,27378,5606,2494,90,298,57,58,0,3462,101,1843,1944,107,5214,36,005,002500,36005002500,0.4448804851944345,0.27952147419386897,413,0.1192952050837666,0.948045267,0.020521672420406596
3335,21427,3270,1806,23,138,0,0,0,2012,23,1136,1159,101,2941,36,005,002701,36005002701,0.5522935779816514,0.38693456698108586,138,0.068588469,0.9801553062985332,0.034342061
5000,29206,4945,2176,0,213,42,0,0,3227,39,1491,1530,211,4585,36,005,002702,36005002702,0.44004044489383215,0.2746814338932666,255,0.079020762,0.9745098039215686,0.046019629225736096
5230,64308,5193,130,53,803,638,0,18,4214,236,2306,2542,101,4942,36,005,002800,36005002800,0.025033699,-0.140325312,1459,0.3462268628381585,0.9071597167584579,0.020437070012140835
2559,41370,2559,582,73,219,87,0,0,1653,131,900,1031,50,2400,36,005,003100,36005003100,0.22743259085580306,0.06207358,306,0.1851179673321234,0.8729388942774006,0.020833333333333332
3559,24122,3507,1853,69,124,29,0,0,2050,162,1058,1220,75,3413,36,005,003300,36005003300,0.5283718277730254,0.3630128167724599,153,0.074634146,0.8672131147540983,0.021974802226779958
3899,34185,3899,1046,0,273,83,22,0,2253,58,1420,1478,127,3671,36,005,003500,36005003500,0.26827391638881765,0.10291490538825213,378,0.1677762982689747,0.9607577807848444,0.034595478
331,-666666666,305,115,0,51,0,21,0,288,0,188,188,20,305,36,005,003700,36005003700,0.3770491803278688,0.2116901693273033,72,0.25,1,0.06557377
1182,88077,1166,171,11,30,11,27,0,726,152,214,366,21,1066,36,005,003800,36005003800,0.14665523156089194,-0.018703779,68,0.093663912,0.5846994535519126,0.019699812382739212
6227,20640,6197,2078,29,224,147,0,18,3952,83,2247,2330,264,6061,36,005,003900,36005003900,0.3353235436501533,0.1699645326495878,389,0.098431174,0.9643776824034335,0.043557168784029036
1409,70536,1409,144,42,161,166,0,0,1005,236,293,529,49,1395,36,005,004001,36005004001,0.1022001419446416,-0.063158869,327,0.3253731343283582,0.553875236,0.035125448
6583,27328,6560,2749,0,548,29,0,0,4256,184,2260,2444,166,5927,36,005,004100,36005004100,0.4190548780487805,0.253695867,577,0.13557330827067668,0.9247135842880524,0.028007424
8179,52423,8179,1599,51,686,568,65,0,4892,342,2580,2922,212,7194,36,005,004200,36005004200,0.19550067245384523,0.030141661453279706,1319,0.2696238757154538,0.8829568788501027,0.029469001946066165
5627,34890,5611,1534,140,471,29,0,38,3528,296,1917,2213,112,5215,36,005,004300,36005004300,0.27339155230796647,0.10803254130740095,538,0.15249433106575963,0.8662449164030728,0.021476510067114093
4592,17319,4413,2150,0,115,35,15,0,2865,65,1545,1610,104,4187,36,005,004400,36005004400,0.4871969181962384,0.32183790719567285,165,0.057591623,0.9596273291925466,0.024838786720802485
1763,17083,1711,1036,40,136,63,5,0,1088,116,556,672,5,1559,36,005,004600,36005004600,0.6054938632378726,0.4401348522373071,204,0.1875,0.8273809523809523,0.003207184
4261,34436,4251,1284,19,281,44,9,0,2754,113,1410,1523,48,3826,36,005,004800,36005004800,0.3020465772759351,0.13668756627536957,334,0.12127814088598403,0.9258043335521996,0.012545739675901725
4565,34087,4506,2208,61,291,64,0,0,2776,168,1209,1377,35,4166,36,005,005001,36005005001,0.49001331557922767,0.3246543045786622,355,0.12788184438040345,0.8779956427015251,0.008401344
6466,36598,6353,2588,91,227,207,0,0,3779,147,1789,1936,183,5754,36,005,005002,36005005002,0.4073665984574217,0.24200758745685616,434,0.11484519714210109,0.9240702479338843,0.031803962
6492,22850,6483,3246,82,334,52,0,0,3621,153,2207,2360,96,6019,36,005,005100,36005005100,0.5006941230911615,0.33533511209059597,386,0.10660038663352665,0.9351694915254237,0.015949493271307527
1931,29657,1931,731,56,55,25,0,0,1180,89,731,820,20,1854,36,005,005200,36005005200,0.3785603314344899,0.2132013204339244,80,0.06779661,0.8914634146341464,0.010787486515641856
5379,26437,5337,2664,0,162,85,0,0,2542,0,1634,1634,34,4777,36,005,005300,36005005300,0.4991568296795953,0.3337978186790298,247,0.097167585,1,0.007117438
5715,48750,5715,1559,54,300,40,0,0,3308,238,1543,1781,67,4944,36,005,005400,36005005400,0.2727909011373578,0.1074318901367923,340,0.10278113663845223,0.8663672094329029,0.013551779935275081
2311,39572,2311,807,10,334,37,7,0,1584,151,802,953,93,2212,36,005,005600,36005005600,0.34919948074426654,0.18384046974370102,378,0.23863636363636365,0.8415529905561385,0.042043399638336344
2938,48456,2938,907,280,356,122,93,32,1905,406,841,1247,18,2803,36,005,005902,36005005902,0.30871341,0.1433543994827565,603,0.3165354330708661,0.6744186046511628,0.006421691
1297,47375,1284,327,0,102,43,22,5,787,65,310,375,9,1189,36,005,006000,36005006000,0.2546728971962617,0.089313886,172,0.21855146124523506,0.8266666666666667,0.007569386
3868,66430,3841,495,472,675,383,0,0,3157,862,1081,1943,9,3747,36,005,006100,36005006100,0.1288726894038011,-0.036486322,1058,0.33512828634779857,0.5563561502830674,0.002401922
6217,30236,6217,2335,20,350,81,1,0,3811,49,2494,2543,179,5902,36,005,006200,36005006200,0.375583079,0.21022406765473448,432,0.11335607452112306,0.9807314195831695,0.030328702134869535
5845,55396,5845,1574,326,741,181,35,0,4463,511,1792,2303,45,5559,36,005,006301,36005006301,0.26928999144568005,0.10393098044511453,957,0.21442975576966167,0.7781155015197568,0.008094981
3928,24730,3898,1657,88,192,61,38,0,2455,280,1103,1383,68,3662,36,005,006400,36005006400,0.42508978963571065,0.25973077863514515,291,0.1185336048879837,0.7975415762834418,0.018569087930092845
5627,22985,5584,2987,125,357,129,0,40,3277,125,2032,2157,29,4777,36,005,006500,36005006500,0.5349212034383954,0.36956219243782995,526,0.1605126640219713,0.9420491423273064,0.006070756
6777,17390,6777,3595,30,157,0,0,0,4148,103,2483,2586,119,6510,36,005,006700,36005006700,0.5304707097535782,0.36511169875301275,157,0.037849566,0.960170147,0.01827957
2493,29844,2493,858,103,94,59,0,2,1543,164,743,907,40,2340,36,005,006800,36005006800,0.34416365824308065,0.17880464724251513,155,0.10045366169799093,0.8191841234840133,0.017094017094017096
7118,29627,7118,2724,31,404,123,18,0,4426,138,2751,2889,150,6661,36,005,006900,36005006900,0.3826917673503793,0.21733275634981378,545,0.12313601446000903,0.952232606,0.022519141
3869,57905,3860,1133,113,333,73,0,0,2634,421,873,1294,44,3612,36,005,007000,36005007000,0.2935233160621762,0.12816430506161067,406,0.15413819286256644,0.6746522411128284,0.012181616832779624
2872,44792,2855,503,197,419,236,0,0,2031,489,767,1256,38,2678,36,005,007100,36005007100,0.17618213660245183,0.010823125601886308,655,0.3225012309207287,0.6106687898089171,0.014189693801344288
6176,63449,6159,1004,64,262,378,31,21,4150,579,1072,1651,73,5667,36,005,007200,36005007200,0.16301347621367104,-0.002345535,692,0.16674698795180723,0.6493034524530588,0.012881595200282337
4444,28166,4425,1547,99,180,19,0,0,2516,133,1402,1535,276,4141,36,005,007300,36005007300,0.3496045197740113,0.18424550877344578,199,0.0790938,0.9133550488599349,0.066650567
3192,53166,3192,614,97,295,188,0,27,2282,559,782,1341,51,3139,36,005,007400,36005007400,0.19235588972431078,0.026996879,510,0.22348816827344434,0.5831469052945563,0.016247212
6670,34484,6670,2183,236,486,275,40,0,4097,445,1946,2391,103,6072,36,005,007500,36005007500,0.3272863568215892,0.16192734582102367,801,0.19550890895777398,0.8138854035968214,0.016963109354413704
5109,53784,5079,832,152,656,101,67,7,3569,408,1460,1868,50,4607,36,005,007600,36005007600,0.16381177397125418,-0.001547237,831,0.23283833006444382,0.7815845824411135,0.010853049706967658
2166,48846,2161,475,34,130,45,24,0,1407,137,433,570,29,2036,36,005,007700,36005007700,0.2198056455344748,0.054446635,199,0.1414356787491116,0.7596491228070176,0.014243615
6241,61328,6201,1414,69,574,26,0,8,3666,577,1362,1939,113,5834,36,005,007800,36005007800,0.22802773746169971,0.062668726,608,0.16584833606110203,0.70242393,0.019369214946863215
7086,34604,7038,2222,0,408,80,26,0,3915,0,2332,2332,214,6709,36,005,007900,36005007900,0.315714692,0.15035568067320546,514,0.13128991060025544,1,0.031897451
6564,50920,6551,1142,133,664,217,0,0,4202,513,1804,2317,174,6219,36,005,008300,36005008300,0.17432453060601436,0.00896552,881,0.2096620656830081,0.778593008,0.027978774722624215
2811,67724,2811,146,359,374,144,17,15,2053,735,258,993,46,2649,36,005,008400,36005008400,0.051938812,-0.113420199,550,0.2679006332196785,0.2598187311178248,0.017365043
5746,34543,5673,2030,204,331,225,73,19,3805,470,1678,2148,120,5468,36,005,008500,36005008500,0.3578353604794641,0.1924763494788986,648,0.17030223390275953,0.7811918063314711,0.021945866861741038
4304,23987,4145,1752,19,112,37,0,0,2200,173,1418,1591,132,3948,36,005,008600,36005008600,0.4226779252110977,0.2573189142105322,149,0.067727273,0.8912633563796355,0.03343465
6677,36402,6555,2780,25,547,118,22,0,4030,53,2035,2088,484,6088,36,005,008700,36005008700,0.4241037376048818,0.25874472660431624,687,0.1704714640198511,0.9746168582375478,0.079500657
3239,41484,3230,598,77,118,46,0,0,2350,104,1190,1294,310,3128,36,005,008900,36005008900,0.1851393188854489,0.019780307884883386,164,0.069787234,0.919629057,0.099104859
3692,33831,3600,1325,2,183,5,12,5,2230,248,999,1247,119,3482,36,005,009000,36005009000,0.3680555555555556,0.20269654455499006,205,0.091928251,0.8011226944667201,0.034175761056863874
5959,56208,5959,1313,48,386,162,16,0,3899,483,1373,1856,91,5482,36,005,009200,36005009200,0.22033898305084745,0.054979972,564,0.1446524749935881,0.7397629310344828,0.016599781
5066,47185,4960,1316,94,226,247,0,0,3086,171,1705,1876,119,4478,36,005,009301,36005009301,0.2653225806451613,0.09996357,473,0.15327284510693454,0.9088486140724946,0.026574364
463,-666666666,0,0,0,0,10,0,0,372,0,0,0,0,463,36,005,009302,36005009302,0.257321674,,10,0.026881720430107527,0.8561931559045466,0
2740,53333,2512,490,65,208,136,11,5,1911,227,649,876,26,2606,36,005,009600,36005009600,0.19506369426751594,0.029704683266950416,360,0.18838304552590268,0.7408675799086758,0.009976976
4715,56128,4458,819,7,574,197,29,0,3587,731,907,1638,110,4491,36,005,009800,36005009800,0.18371467025572005,0.018355659255154533,800,0.2230275996654586,0.5537240537240538,0.024493431307058562
4242,28592,4148,1758,65,233,157,0,0,2483,173,1266,1439,276,3982,36,005,011502,36005011502,0.42381870781099323,0.2584596968104277,390,0.15706806282722513,0.8797776233495483,0.069311904
1509,33967,1509,513,5,138,15,0,0,846,36,457,493,0,1356,36,005,011701,36005011701,0.3399602385685885,0.17460122756802296,153,0.18085106382978725,0.9269776876267748,0
5798,109396,4448,480,50,699,358,23,7,2997,950,551,1501,57,5417,36,005,011800,36005011800,0.1079136690647482,-0.057445342,1087,0.362696029,0.3670886075949367,0.010522429
6159,34335,6128,1817,0,282,82,0,0,3023,114,1830,1944,84,5667,36,005,011900,36005011900,0.29650783289817234,0.13114882189760682,364,0.12041018855441614,0.941358025,0.014822657490735839
3415,55000,3380,1000,18,355,42,0,0,2259,203,827,1030,117,3185,36,005,012101,36005012101,0.2958579881656805,0.13049897716511497,397,0.17574147853032315,0.8029126213592233,0.036734693877551024
1337,43472,1328,308,0,19,20,0,0,976,9,513,522,25,1272,36,005,012102,36005012102,0.2319277108433735,0.0665687,39,0.039959016393442626,0.9827586206896551,0.019654088050314465
4915,47402,4915,616,0,320,76,0,0,3091,188,1511,1699,26,4553,36,005,012300,36005012300,0.12533062054933877,-0.04002839,396,0.12811387900355872,0.8893466745144203,0.005710521
4030,51875,3986,1220,0,265,181,40,0,2408,325,1061,1386,35,3576,36,005,012500,36005012500,0.30607124937280483,0.1407122383722393,486,0.20182724252491693,0.7655122655122655,0.009787472
2460,44667,2424,702,68,123,26,28,0,1501,206,574,780,119,2200,36,005,012701,36005012701,0.2896039603960396,0.12424494939547406,177,0.11792138574283811,0.735897436,0.054090909
5469,40575,5281,1891,0,264,0,3,0,3178,84,1655,1739,69,4910,36,005,012901,36005012901,0.35807612194660104,0.19271711094603552,267,0.084015104,0.9516963772282921,0.014052953
1262,59083,1262,343,25,135,62,0,31,805,228,221,449,5,1212,36,005,013000,36005013000,0.27179080824088747,0.10643179724032195,228,0.28322981366459626,0.4922048997772829,0.004125413
4822,17410,4822,2113,156,363,174,0,0,3420,294,1813,2107,258,4678,36,005,013100,36005013100,0.4381999170468685,0.27284090604630296,537,0.1570175438596491,0.8604651162790697,0.055151774262505344
7249,104651,7249,720,230,848,553,0,68,5049,1614,978,2592,14,6791,36,005,013200,36005013200,0.099324045,-0.066034966,1469,0.2909487027134086,0.3773148148148148,0.002061552
6038,34055,6011,1272,101,432,0,71,0,3823,189,2083,2272,571,5776,36,005,013300,36005013300,0.21161204458492763,0.046253034,503,0.13157206382422182,0.9168133802816901,0.098857341
3125,27602,3125,1357,22,83,15,0,0,1954,97,1382,1479,58,2873,36,005,013500,36005013500,0.43424,0.26888098899943447,98,0.050153531,0.9344151453684922,0.020187957
2969,84042,2969,376,136,357,190,8,42,2126,789,416,1205,0,2724,36,005,013800,36005013800,0.12664196699225327,-0.038717044,597,0.2808090310442145,0.34522821576763485,0
7133,35506,7133,1950,55,734,144,0,24,4426,185,2651,2836,187,6776,36,005,014100,36005014100,0.2733772606196551,0.1080182496190896,902,0.20379575237234523,0.9347672778561354,0.027597402597402596
1715,16678,1690,703,0,151,4,0,0,1029,0,696,696,5,1557,36,005,014300,36005014300,0.41597633136094675,0.2506173203603812,155,0.15063168124392615,1,0.003211304
6253,29213,6158,1847,23,267,274,25,0,4045,338,2073,2411,114,5452,36,005,014400,36005014400,0.29993504384540437,0.13457603284483885,566,0.13992583436341163,0.8598092077975944,0.020909758
6425,27352,6208,3080,36,145,73,0,0,4022,36,2382,2418,133,6117,36,005,014500,36005014500,0.4961340206185567,0.3307750096179912,218,0.05420189,0.9851116625310173,0.021742684322380253
5645,25858,5606,2669,33,331,0,26,0,3506,33,2031,2064,91,5280,36,005,014701,36005014701,0.4760970388869069,0.3107380278863414,357,0.10182544209925841,0.9840116279069767,0.017234848484848485
5232,21196,5232,2179,25,317,10,0,0,2775,25,1909,1934,387,4756,36,005,014702,36005014702,0.41647553516819574,0.2511165241676302,327,0.11783783783783784,0.9870734229576008,0.0813709
4917,41311,4745,1768,110,319,198,0,11,2683,289,1196,1485,43,4517,36,005,014900,36005014900,0.3726027397260274,0.2072437287254619,528,0.1967946328736489,0.8053872053872054,0.009519593
5143,28618,5046,2107,115,239,188,0,0,3801,390,1698,2088,60,4916,36,005,015100,36005015100,0.4175584621482362,0.25219945114767073,427,0.11233885819521179,0.8132183908045977,0.012205044751830757
2666,77238,2582,348,45,207,118,0,33,1673,489,498,987,17,2531,36,005,015200,36005015200,0.13477924089852827,-0.03057977,358,0.21398684997011358,0.5045592705167173,0.006716713
