DATE,MAX_BAT,MAX_CP,MAX_JFK,MAX_LGA,MAX_PORT,MIN_BAT,MIN_CP,MIN_JFK,MIN_LGA,MIN_PORT,PRCP_BAT,PRCP_CP,PRCP_JFK,PRCP_LGA,PRCP_PORT,TEMP_BAT,TEMP_CP,TEMP_JFK,TEMP_LGA,TEMP_PORT,TMAX_CITY,TMIN_CITY,TMEAN_CITY,PRCP_CITY,EXTREME_HEAT
2018-06-01,74.3,81.0,75.0,82.0,82.4,64.0,63.0,60.1,62.1,64.0,0.0,0.11,0.11,0.08,0.01,68.0,70.2,66.5,69.0,69.6,78.94000000000001,62.64,68.66,0.062,0
2018-06-02,84.9,87.1,86.0,87.1,88.0,67.1,64.9,63.0,63.0,64.0,0.0,0.26,1.1,0.02,0.0,76.1,76.8,74.8,77.5,76.7,86.62,64.4,76.38,0.276,0
2018-06-03,77.2,87.1,86.0,87.1,88.0,58.3,59.0,55.0,60.1,59.0,0.0,0.09,0.0,0.02,0.04,64.3,64.0,62.8,65.6,65.6,85.08,58.279999999999994,64.46,0.03,0
2018-06-04,71.4,71.1,71.1,70.0,75.9,52.2,51.1,51.1,51.8,53.1,0.0,0.39,0.72,0.64,0.19,58.5,58.8,57.1,59.0,60.6,71.9,51.86,58.8,0.388,0
2018-06-05,73.0,75.0,75.9,77.0,77.0,60.4,51.1,51.1,52.0,53.1,0.0,0.01,0.61,0.35,0.01,66.4,65.6,64.2,67.6,67.2,75.58,53.54,66.2,0.196,0
2018-06-06,70.5,75.0,75.9,77.0,77.0,60.6,57.9,53.1,59.0,61.0,0.0,0.0,0.0,0.0,0.0,64.0,63.8,62.9,65.2,65.9,75.08,58.32000000000001,64.35999999999999,0.0,0
2018-06-07,66.9,71.1,71.1,71.1,72.0,59.9,57.9,55.9,60.1,60.8,0.0,0.0,0.0,0.0,0.0,62.7,63.6,60.5,64.1,64.3,70.44,58.92,63.04,0.0,0
2018-06-08,78.6,82.0,73.9,82.9,82.4,60.3,60.1,57.9,61.0,60.8,0.0,0.0,0.0,0.0,0.0,67.8,69.1,65.0,69.8,68.7,79.96,60.02,68.08,0.0,0
2018-06-09,79.9,82.9,79.0,82.9,84.2,68.5,60.1,57.9,62.1,61.0,0.0,0.0,0.0,0.0,0.0,73.5,74.4,70.9,75.6,75.4,81.78,61.92,73.96,0.0,0
2018-06-10,73.2,82.9,79.0,81.0,84.0,64.0,62.1,62.1,66.0,64.0,0.0,0.0,0.0,0.0,0.0,69.1,68.3,68.0,70.2,69.8,80.02000000000001,63.64,69.08000000000001,0.0,0
2018-06-11,68.4,73.0,72.0,73.0,73.4,57.7,57.9,57.0,60.1,57.2,0.0,0.01,0.04,0.01,0.01,62.8,63.9,62.2,65.2,63.8,71.96,57.98,63.580000000000005,0.014000000000000002,0
2018-06-12,68.9,75.0,69.1,75.0,73.9,57.9,57.0,52.0,60.1,57.9,0.0,0.0,0.02,0.0,0.0,63.3,64.6,61.3,66.3,65.2,72.38,56.98,64.14,0.004,0
2018-06-13,75.0,78.1,72.0,81.0,75.9,63.1,57.0,52.0,60.1,59.0,0.0,0.0,0.0,0.0,0.0,67.2,68.7,65.1,69.3,67.9,76.4,58.239999999999995,67.64000000000001,0.0,0
2018-06-14,82.6,84.0,84.9,86.0,87.8,67.1,63.0,62.1,64.9,64.0,0.0,0.04,0.04,0.03,0.0,74.3,75.8,75.7,77.5,76.3,85.06,64.22,75.92,0.022,0
2018-06-15,81.0,84.0,84.9,86.0,87.1,63.7,63.0,64.9,64.9,64.4,0.0,0.0,0.0,0.0,0.0,71.0,70.2,71.4,71.7,72.7,84.6,64.17999999999999,71.4,0.0,0
2018-06-16,80.1,84.9,82.0,86.0,86.0,63.5,63.0,60.1,64.9,64.0,0.0,0.0,0.0,0.0,0.0,71.4,73.1,70.6,75.1,73.1,83.8,63.1,72.66,0.0,0
2018-06-17,83.3,91.0,87.1,91.0,90.0,65.7,64.0,60.1,66.9,64.0,0.0,0.0,0.0,0.0,0.0,74.5,77.5,74.1,79.3,76.3,88.48,64.14,76.34,0.0,0
2018-06-18,86.5,91.0,87.1,91.9,90.0,70.0,66.0,63.0,66.9,66.9,0.0,0.0,0.0,0.0,0.0,77.6,80.9,72.7,82.1,79.0,89.3,66.55999999999999,78.46000000000001,0.0,0
2018-06-19,87.3,91.0,89.1,91.9,90.0,73.0,73.0,66.9,73.9,70.0,0.0,0.15,0.45,0.1,0.15,79.8,80.6,79.6,83.5,80.9,89.86,71.36,80.88,0.16999999999999998,0
